Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-08,145.023,148.522,145.014,148.092,622900,0.0,0.0
2022-02-09,149.579,150.983,148.887,150.262,659900,0.0,0.0
2022-02-10,148.85,151.647,148.85,149.72,604800,0.0,0.0
2022-02-11,149.233,149.963,145.182,145.556,809300,0.0,0.0
2022-02-14,146.183,146.548,142.403,144.246,1077400,0.0,0.0
2022-02-15,145.341,148.971,145.107,148.12,591200,0.0,0.0
2022-02-16,146.595,148.054,144.621,146.043,636500,0.0,0.0
2022-02-17,144.256,144.995,142.768,143.086,560200,0.0,0.0
2022-02-18,146.892,148.518,134.308,135.568,2863400,0.68,0.0
2022-02-22,132.513,136.808,132.288,135.399,1874400,0.0,0.0
2022-02-23,136.273,136.789,129.825,130.164,1386500,0.0,0.0
2022-02-24,126.705,129.186,125.465,128.951,1672000,0.0,0.0
2022-02-25,129.788,133.641,129.75,132.776,1145600,0.0,0.0
2022-02-28,130.042,131.386,128.369,130.897,2049600,0.0,0.0
2022-03-01,131.047,131.865,126.301,127.495,2138500,0.0,0.0
2022-03-02,128.482,135.248,128.247,134.665,1703000,0.0,0.0
2022-03-03,135.502,137.137,134.665,136.019,1495100,0.0,0.0
2022-03-04,133.087,134.158,130.371,133.359,1149100,0.0,0.0
2022-03-07,131.79,132.607,125.352,125.578,1493600,0.0,0.0
2022-03-08,127.222,129.45,124.299,125.841,1267200,0.0,0.0
2022-03-09,129.036,131.818,128.228,130.267,1322000,0.0,0.0
2022-03-10,128.265,130.718,128.265,130.239,1279500,0.0,0.0
2022-03-11,130.991,132.88,129.581,129.703,1281100,0.0,0.0
2022-03-14,130.887,134.167,129.525,131.395,1272100,0.0,0.0
2022-03-15,131.724,132.457,127.062,130.201,1556300,0.0,0.0
2022-03-16,131.743,134.468,130.953,133.679,916900,0.0,0.0
2022-03-17,132.241,134.224,131.376,133.989,1030100,0.0,0.0
2022-03-18,135.483,135.483,131.273,134.252,2056000,0.0,0.0
2022-03-21,134.891,136.16,133.19,134.158,776200,0.0,0.0
2022-03-22,135.417,135.887,133.857,135.032,723600,0.0,0.0
2022-03-23,134.496,134.947,132.955,132.974,528800,0.0,0.0
2022-03-24,133.773,135.38,133.115,135.201,539800,0.0,0.0
2022-03-25,134.628,135.831,134.196,135.436,539000,0.0,0.0
2022-03-28,135.182,135.201,132.955,135.154,593700,0.0,0.0
2022-03-29,136.733,138.284,136.169,137.523,763200,0.0,0.0
2022-03-30,137.523,137.588,135.399,135.934,762200,0.0,0.0
2022-03-31,135.333,137.034,134.243,134.271,873200,0.0,0.0
2022-04-01,136.573,136.573,132.711,135.032,802400,0.0,0.0
2022-04-04,135.032,135.765,133.547,134.75,732500,0.0,0.0
2022-04-05,134.318,135.135,133.35,133.942,878800,0.0,0.0
2022-04-06,132.955,133.115,130.418,131.987,942000,0.0,0.0
2022-04-07,132.137,133.35,130.286,132.635,701800,0.0,0.0
2022-04-08,134.318,137.692,133.895,135.774,940300,0.0,0.0
2022-04-11,135.258,138.81,134.778,136.254,989600,0.0,0.0
2022-04-12,136.47,138.763,134.694,135.305,760600,0.0,0.0
2022-04-13,134.825,138.462,134.365,138.265,718300,0.0,0.0
2022-04-14,139.083,140.398,136.385,136.432,987000,0.0,0.0
2022-04-18,136.507,137.767,135.793,136.573,452000,0.0,0.0
2022-04-19,136.507,139.13,135.981,138.519,792500,0.0,0.0
2022-04-20,139.383,140.972,139.026,139.412,965300,0.0,0.0
2022-04-21,141.554,142.776,138.744,139.13,547400,0.0,0.0
2022-04-22,138.19,138.19,134.073,134.12,486400,0.0,0.0
2022-04-25,132.56,133.754,128.651,133.369,713200,0.0,0.0
2022-04-26,132.964,134.976,130.859,130.859,498500,0.0,0.0
2022-04-27,132.03,134.373,130.774,132.285,969900,0.68,0.0
2022-04-28,132.805,135.78,130.973,134.986,1408900,0.0,0.0
2022-04-29,141.097,145.422,138.179,138.773,1766900,0.0,0.0
2022-05-02,139.142,140.681,134.826,137.839,1221500,0.0,0.0
2022-05-03,138.537,142.296,137.924,141.985,881600,0.0,0.0
2022-05-04,143.033,147.774,141.777,147.406,930900,0.0,0.0
2022-05-05,146.48,147.066,140.889,143.127,759500,0.0,0.0
2022-05-06,142.683,142.835,138.868,140.71,1238700,0.0,0.0
